Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
86488,Takanobu Nishi,M,25.0,170.0,72.0,Japan,JPN
87220,Danuta Krystyna Nowak-Stachow (-Wroska),F,26.0,159.0,56.0,Poland,POL
87898,Flix C. Ocampo,M,23.0,173.0,70.0,Philippines,PHI
88648,Stanisaw Feliks Olejniczak,M,26.0,193.0,84.0,Poland,POL
89367,Sndor Orbn,M,28.0,157.0,51.0,Hungary,HUN
90088,Fabrice Ougier,M,26.0,172.0,72.0,France,FRA
90807,Frdric Pallul,M,24.0,173.0,63.0,France-2,FRA
91515,Park Hyeon-Gon,M,20.0,172.0,67.0,South Korea,KOR
92241,Maya Paunovska,F,20.0,170.0,52.0,Bulgaria,BUL
92951,Mario Pea Maldonado,M,24.0,186.0,85.0,Mexico,MEX
