,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
50,36112,"Jean ""Johny"" Fonck",M,31.0,,,Luxembourg,LUX
51,36814,Georg Franz,M,29.0,175.0,75.0,Germany,GER
52,37528,Reiko Fujita,F,20.0,160.0,59.0,Japan,JPN
53,38237,Didier Gamerdinger,M,28.0,170.0,68.0,Monaco,MON
54,38930,Florencio Gascn lvarez,M,24.0,173.0,68.0,Spain,ESP
55,39659,Hlne Grard,F,,,,Belgium,BEL
56,40377,Erwin Gillmeister,M,29.0,178.0,70.0,Germany,GER
57,41107,Natalie Golda (-Benson),F,22.0,180.0,84.0,United States,USA
58,41843,Piero Gorgatto,M,31.0,,,Aretusa,ITA
59,42563,Nikola Grbi,M,30.0,194.0,91.0,Serbia and Montenegro,SCG
