,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
260,260000,130151,FIN,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Decathlon,
261,261000,130612,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,
262,262000,131086,NOR,1968 Winter,1968,Winter,Grenoble,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
263,263000,131603,FRG,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
264,264000,132107,CHN,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,
265,265000,132600,BUL,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Slalom,
266,266000,133086,BUL,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Parallel Bars,
267,267000,133585,POL,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,
268,268000,134075,NED,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
269,269000,134591,CHN,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres,
