ptr,Athlete ID
0-0,1
0-1,753
0-2,1498
0-3,2273
0-4,2999
0-5,3736
0-6,4472
0-7,5187
0-8,5931
0-9,6665
1-0,7390
1-1,8128
1-2,8825
1-3,9535
1-4,10269
1-5,10972
1-6,11703
1-7,12438
1-8,13162
1-9,13883
2-0,14590
2-1,15295
2-2,15985
2-3,16692
2-4,17429
2-5,18150
2-6,18889
2-7,19624
2-8,20362
2-9,21107
3-0,21842
3-1,22569
3-2,23289
3-3,24015
3-4,24729
3-5,25442
3-6,26145
3-7,26867
3-8,27563
3-9,28290
4-0,28998
4-1,29684
4-2,30415
4-3,31127
4-4,31873
4-5,32591
4-6,33299
4-7,34019
4-8,34733
4-9,35407
5-0,36112
5-1,36814
5-2,37528
5-3,38237
5-4,38930
5-5,39659
5-6,40377
5-7,41107
5-8,41843
5-9,42563
6-0,43280
6-1,44012
6-2,44732
6-3,45460
6-4,46191
6-5,46932
6-6,47635
6-7,48375
6-8,49075
6-9,49786
7-0,50497
7-1,51224
7-2,51945
7-3,52651
7-4,53380
7-5,54077
7-6,54823
7-7,55561
7-8,56315
7-9,57077
8-0,57800
8-1,58519
8-2,59240
8-3,59943
8-4,60678
8-5,61374
8-6,62089
8-7,62799
8-8,63474
8-9,64183
9-0,64895
9-1,65608
9-2,66340
9-3,67072
9-4,67797
9-5,68520
9-6,69253
9-7,69974
9-8,70680
9-9,71377
10-0,72103
10-1,72832
10-2,73554
10-3,74255
10-4,74965
10-5,75667
10-6,76387
10-7,77094
10-8,77836
10-9,78559
11-0,79261
11-1,79967
11-2,80684
11-3,81421
11-4,82158
11-5,82898
11-6,83646
11-7,84358
11-8,85067
11-9,85788
12-0,86488
12-1,87220
12-2,87898
12-3,88648
12-4,89367
12-5,90088
12-6,90807
12-7,91515
12-8,92241
12-9,92951
13-0,93671
13-1,94359
13-2,95060
13-3,95759
13-4,96458
13-5,97172
13-6,97872
13-7,98590
13-8,99299
13-9,100028
14-0,100737
14-1,101458
14-2,102162
14-3,102890
14-4,103592
14-5,104314
14-6,105034
14-7,105748
14-8,106460
14-9,107173
15-0,107888
15-1,108611
15-2,109360
15-3,110096
15-4,110785
15-5,111519
15-6,112211
15-7,112937
15-8,113713
15-9,114416
16-0,115103
16-1,115785
16-2,116472
16-3,117176
16-4,117870
16-5,118581
16-6,119293
16-7,120000
16-8,120699
16-9,121396
17-0,122111
17-1,122826
17-2,123530
17-3,124251
17-4,125014
17-5,125746
17-6,126453
17-7,127176
17-8,127897
17-9,128628
18-0,129352
18-1,130051
18-2,130761
18-3,131504
18-4,132212
18-5,132948
18-6,133643
18-7,134353
18-8,135045
