ptr,NOC
1-6,ARG
2-4,ARG
8-5,ARG
1-9,AUS
14-8,AUS
18-3,AUS
17-3,AUS
0-6,BEL
5-5,BEL
0-3,BEN
11-6,BLR
10-9,BOL
14-7,BRA
3-4,BRA
3-2,BRA
3-8,BUL
12-8,BUL
17-1,CAN
2-1,CAN
15-6,CAN
6-4,CAN
14-9,CAN
10-8,CAN
0-4,CHI
17-9,CHN
6-5,CHN
0-0,CHN
9-7,CHN
2-8,CHN
11-0,CMR
2-7,CRC
16-8,CRO
9-9,CUB
8-2,CYP
7-4,CZE
8-8,CZE
11-4,DEN
9-3,DEN
18-2,DEN
4-8,DOM
2-5,ESP
1-2,ESP
4-6,ESP
0-7,ESP
3-3,ESP
5-4,ESP
7-7,FIN
17-2,FIN
8-6,FIN
4-4,FIN
9-1,FIN
1-5,FRA
0-9,FRA
12-6,FRA
3-7,FRA
7-5,FRA
6-7,FRA
17-6,FRA
3-9,FRA
13-6,FRA
12-5,FRA
14-2,FRA
6-0,FRG
6-2,GBR
6-6,GBR
18-1,GBR
0-2,GBR
17-8,GER
15-0,GER
17-7,GER
15-4,GER
15-7,GER
4-9,GER
0-8,GER
10-0,GER
13-2,GER
18-7,GER
5-1,GER
5-6,GER
9-5,GER
11-1,GRE
13-9,GRE
8-7,GRE
12-4,HUN
18-8,HUN
8-9,HUN
8-4,HUN
16-9,HUN
15-9,HUN
9-0,IND
2-3,IRL
2-0,ITA
3-1,ITA
16-5,ITA
1-3,ITA
5-8,ITA
5-2,JPN
0-1,JPN
10-3,JPN
11-7,JPN
12-0,JPN
8-0,JPN
11-8,JPN
18-4,KAZ
14-3,KEN
12-7,KOR
7-2,KOR
8-3,KOR
9-4,KOR
13-7,LTU
5-0,LUX
13-8,MAD
10-4,MDA
18-6,MDA
17-0,MEX
12-9,MEX
1-8,MLT
5-3,MON
10-1,MRI
3-6,NED
1-4,NED
6-8,NED
17-5,NED
16-6,NED
0-5,NOR
11-5,PAK
7-1,PAK
12-2,PHI
16-7,PHI
2-9,POL
7-9,POL
12-1,POL
12-3,POL
16-4,POL
1-7,POR
2-6,POR
7-3,ROU
13-4,RSA
17-4,RSA
10-2,RSA
18-5,RUS
15-3,RUS
13-0,RUS
5-9,SCG
16-3,SEN
2-2,SLO
13-3,SLO
14-0,SUI
18-0,SUI
13-1,SUI
7-6,SWE
15-5,SWE
7-8,TCH
7-0,TCH
10-5,TCH
9-8,TPE
16-2,TPE
15-1,TUR
3-5,TUR
14-5,TUR
4-7,UAE
4-3,UKR
10-7,UKR
14-4,UKR
1-0,URS
4-0,URS
13-5,URS
15-2,URS
4-5,USA
4-2,USA
5-7,USA
9-6,USA
9-2,USA
4-1,USA
1-1,USA
16-0,USA
6-9,USA
11-9,USA
6-3,USA
6-1,USA
14-1,USA
11-3,USA
3-0,USA
8-1,USA
15-8,USA
14-6,VIN
16-1,YUG
10-6,YUG
11-2,ZIM
