ptr,Athlete ID
0-0,1
0-1,562
0-2,1106
0-3,1671
0-4,2305
0-5,2851
0-6,3370
0-7,3926
0-8,4432
0-9,4949
1-0,5463
1-1,6008
1-2,6541
1-3,7070
1-4,7571
1-5,8096
1-6,8620
1-7,9105
1-8,9565
1-9,10051
2-0,10532
2-1,11090
2-2,11600
2-3,12090
2-4,12602
2-5,13091
2-6,13566
2-7,14046
2-8,14502
2-9,14998
3-0,15488
3-1,15962
3-2,16445
3-3,16981
3-4,17513
3-5,18032
3-6,18495
3-7,19025
3-8,19528
3-9,20083
4-0,20572
4-1,21127
4-2,21648
4-3,22173
4-4,22673
4-5,23206
4-6,23735
4-7,24220
4-8,24734
4-9,25251
5-0,25745
5-1,26213
5-2,26727
5-3,27214
5-4,27708
5-5,28189
5-6,28693
5-7,29198
5-8,29680
5-9,30200
6-0,30729
6-1,31251
6-2,31743
6-3,32293
6-4,32791
6-5,33265
6-6,33769
6-7,34270
6-8,34732
6-9,35183
7-0,35659
7-1,36149
7-2,36632
7-3,37102
7-4,37597
7-5,38057
7-6,38573
7-7,39076
7-8,39611
7-9,40112
8-0,40600
8-1,41131
8-2,41639
8-3,42161
8-4,42689
8-5,43136
8-6,43610
8-7,44128
8-8,44619
8-9,45124
9-0,45610
9-1,46107
9-2,46617
9-3,47115
9-4,47581
9-5,48104
9-6,48602
9-7,49106
9-8,49607
9-9,50108
10-0,50605
10-1,51070
10-2,51597
10-3,52114
10-4,52626
10-5,53146
10-6,53618
10-7,54082
10-8,54599
10-9,55109
11-0,55617
11-1,56161
11-2,56724
11-3,57251
11-4,57745
11-5,58252
11-6,58749
11-7,59243
11-8,59706
11-9,60241
12-0,60751
12-1,61202
12-2,61682
12-3,62165
12-4,62636
12-5,63092
12-6,63544
12-7,64027
12-8,64503
12-9,64950
13-0,65439
13-1,65943
13-2,66435
13-3,66946
13-4,67472
13-5,67926
13-6,68425
13-7,68878
13-8,69346
13-9,69825
14-0,70291
14-1,70777
14-2,71234
14-3,71761
14-4,72270
14-5,72776
14-6,73260
14-7,73771
14-8,74273
14-9,74733
15-0,75223
15-1,75779
15-2,76283
15-3,76785
15-4,77319
15-5,77793
15-6,78324
15-7,78863
15-8,79317
15-9,79812
16-0,80289
16-1,80791
16-2,81330
16-3,81843
16-4,82311
16-5,82860
16-6,83365
16-7,83902
16-8,84408
16-9,84953
17-0,85438
17-1,85939
17-2,86420
17-3,86938
17-4,87406
17-5,87925
17-6,88467
17-7,88983
17-8,89444
17-9,89957
18-0,90475
18-1,90973
18-2,91465
18-3,91977
18-4,92472
18-5,92985
18-6,93516
18-7,94003
18-8,94442
18-9,94940
19-0,95428
19-1,95923
19-2,96406
19-3,96902
19-4,97388
19-5,97861
19-6,98416
19-7,98894
19-8,99410
19-9,99948
20-0,100449
20-1,100965
20-2,101455
20-3,101948
20-4,102423
20-5,102931
20-6,103410
20-7,103888
20-8,104405
20-9,104923
21-0,105426
21-1,105956
21-2,106433
21-3,106960
21-4,107459
21-5,107927
21-6,108424
21-7,108980
21-8,109503
21-9,110000
22-0,110513
22-1,111027
22-2,111574
22-3,112002
22-4,112509
22-5,113040
22-6,113566
22-7,114070
22-8,114527
22-9,114977
23-0,115465
23-1,115928
23-2,116394
23-3,116876
23-4,117363
23-5,117845
23-6,118331
23-7,118843
23-8,119349
23-9,119817
24-0,120267
24-1,120715
24-2,121214
24-3,121695
24-4,122193
24-5,122686
24-6,123185
24-7,123674
24-8,124158
24-9,124656
25-0,125207
25-1,125720
25-2,126199
25-3,126681
25-4,127184
25-5,127645
25-6,128186
25-7,128685
25-8,129196
25-9,129664
26-0,130151
26-1,130612
26-2,131086
26-3,131603
26-4,132107
26-5,132600
26-6,133086
26-7,133585
26-8,134075
26-9,134591
27-0,135074
27-1,135513
