ptr,NOC
23-2,AFG
6-8,AHO
2-7,ALG
7-1,AND
9-5,ARG
0-4,ARG
27-1,ARG
7-5,ARG
8-2,ARG
25-5,ARU
18-8,AUS
16-2,AUS
25-7,AUS
1-5,AUS
3-6,AUS
2-6,AUS
9-0,AUS
4-3,AUS
12-7,AUT
22-4,AUT
17-4,AUT
5-7,AUT
16-4,AUT
3-0,BAH
20-4,BEL
24-8,BEL
19-1,BLR
21-9,BLR
22-0,BRA
4-8,BRA
26-5,BUL
26-6,BUL
18-1,BUL
7-8,BUL
1-4,CAN
12-6,CAN
15-0,CAN
12-1,CAN
19-3,CAN
21-1,CAN
2-8,CAN
1-3,CAN
19-6,CAN
5-6,CAN
0-5,CAN
9-4,CAN
3-7,CHI
4-7,CHI
0-0,CHN
13-8,CHN
10-0,CHN
14-8,CHN
15-8,CHN
26-9,CHN
26-4,CHN
15-6,COL
8-4,CRC
17-1,CRC
12-5,CRO
3-2,CRO
7-6,CUB
3-8,CUB
11-7,CYP
16-3,CZE
12-8,CZE
4-9,CZE
9-8,CZE
14-6,DEN
22-6,DEN
22-7,EGY
8-6,ESA
9-1,ESP
20-6,ESP
18-0,ESP
19-0,ESP
24-5,EUN
3-1,FIJ
10-3,FIN
19-7,FIN
16-7,FIN
13-9,FIN
12-0,FIN
19-2,FIN
8-9,FIN
26-0,FIN
13-6,FIN
19-5,FRA
20-5,FRA
2-1,FRA
19-9,FRA
20-8,FRA
6-9,FRA
13-7,FRA
18-7,FRA
18-5,FRA
5-3,FRA
7-7,FRA
21-7,FRA
7-3,FRA
14-9,FRA
21-4,FRG
26-3,FRG
15-4,GBR
1-6,GBR
5-0,GBR
23-9,GBR
21-0,GBR
10-5,GBR
1-8,GBR
20-3,GBR
8-0,GBR
3-5,GBR
0-8,GBR
15-9,GBR
23-5,GBR
5-8,GBR
21-3,GDR
27-0,GDR
6-5,GER
6-6,GER
6-0,GER
7-4,GER
13-2,GER
2-9,GER
20-9,GER
6-1,GER
2-0,GER
25-8,GER
25-9,GER
7-9,GRE
24-4,GRE
15-1,GUA
4-1,HKG
9-6,HKG
4-0,HKG
14-3,HUN
24-2,HUN
24-6,HUN
14-7,HUN
22-1,IND
0-2,IRI
4-4,IRL
6-3,ISL
18-4,ISR
15-7,ISV
20-0,ISV
17-0,ISV
7-2,ITA
21-2,ITA
14-2,ITA
2-5,ITA
0-6,ITA
17-8,ITA
6-7,ITA
24-3,ITA
24-1,ITA
22-5,ITA
1-9,ITA
1-1,ITA
15-2,ITA
0-3,JPN
23-6,JPN
12-2,JPN
20-7,KAZ
3-9,KEN
10-6,KOR
11-1,KOR
10-8,KOR
13-5,KOR
18-2,KOR
11-9,KOR
11-5,LIB
16-8,LIB
6-2,LTU
6-4,LUX
8-8,MAR
13-1,MAR
4-5,MEX
11-4,NED
26-8,NED
24-9,NED
17-6,NED
10-4,NED
22-3,NED
14-5,NED
8-5,NED
5-1,NED
23-3,NOR
9-7,NOR
26-2,NOR
13-0,NOR
11-8,NOR
10-9,NOR
14-0,NOR
22-9,NRU
11-6,NZL
23-1,NZL
15-5,NZL
2-3,NZL
2-2,NZL
25-1,PER
3-4,PHI
1-0,PHI
23-4,POL
1-7,POL
17-5,POL
18-9,POL
15-3,POL
26-7,POL
18-3,POL
0-1,POL
1-2,POL
5-5,POR
7-0,POR
20-1,PUR
21-6,ROU
16-9,ROU
16-6,ROU
10-2,ROU
5-9,RSA
8-1,RUS
18-6,RUS
12-9,RUS
25-2,RUS
3-3,RUS
25-4,RUS
19-8,SCG
16-0,SCG
10-7,SRI
9-2,SUI
2-4,SUI
17-9,SUI
24-7,SVK
8-7,SWE
25-6,SWE
14-1,SWE
14-4,SWE
17-2,SWE
17-7,SWE
12-4,SWE
0-7,SWE
16-5,TCH
12-3,TCH
0-9,TCH
23-8,TCH
11-3,THA
13-4,TPE
24-0,TPE
16-1,TTO
23-7,TUR
9-3,UKR
25-0,URS
21-8,URS
19-4,URS
13-3,URS
5-2,USA
8-3,USA
26-1,USA
25-3,USA
4-6,USA
23-0,USA
22-8,USA
17-3,USA
20-2,USA
4-2,USA
10-1,USA
21-5,USA
11-0,USA
22-2,YUG
5-4,YUG
9-9,YUG
11-2,ZIM
