ptr,NOC
0-0,AFG
0-1,AHO
0-2,ALB
0-3,ALG
0-4,AND
0-5,ANG
0-6,ANT
0-7,ANZ
0-8,ARG
0-9,ARM
1-0,ARU
1-1,ASA
1-2,AUS
1-3,AUT
1-4,AZE
1-5,BAH
1-6,BAN
1-7,BAR
1-8,BDI
1-9,BEL
2-0,BEN
2-1,BER
2-2,BHU
2-3,BIH
2-4,BIZ
2-5,BLR
2-6,BOH
2-7,BOL
2-8,BOT
2-9,BRA
3-0,BRN
3-1,BRU
3-2,BUL
3-3,BUR
3-4,CAF
3-5,CAM
3-6,CAN
3-7,CAY
3-8,CGO
3-9,CHA
4-0,CHI
4-1,CHN
4-2,CIV
4-3,CMR
4-4,COD
4-5,COK
4-6,COL
4-7,COM
4-8,CPV
4-9,CRC
5-0,CRO
5-1,CRT
5-2,CUB
5-3,CYP
5-4,CZE
5-5,DEN
5-6,DJI
5-7,DMA
5-8,DOM
5-9,ECU
6-0,EGY
6-1,ERI
6-2,ESA
6-3,ESP
6-4,EST
6-5,ETH
6-6,EUN
6-7,FIJ
6-8,FIN
6-9,FRA
7-0,FRG
7-1,FSM
7-2,GAB
7-3,GAM
7-4,GBR
7-5,GBS
7-6,GDR
7-7,GEO
7-8,GEQ
7-9,GER
8-0,GHA
8-1,GRE
8-2,GRN
8-3,GUA
8-4,GUI
8-5,GUM
8-6,GUY
8-7,HAI
8-8,HKG
8-9,HON
9-0,HUN
9-1,INA
9-2,IND
9-3,IOA
9-4,IRI
9-5,IRL
9-6,IRQ
9-7,ISL
9-8,ISR
9-9,ISV
10-0,ITA
10-1,IVB
10-2,JAM
10-3,JOR
10-4,JPN
10-5,KAZ
10-6,KEN
10-7,KGZ
10-8,KIR
10-9,KOR
11-0,KOS
11-1,KSA
11-2,KUW
11-3,LAO
11-4,LAT
11-5,LBA
11-6,LBR
11-7,LCA
11-8,LES
11-9,LIB
12-0,LIE
12-1,LTU
12-2,LUX
12-3,MAD
12-4,MAL
12-5,MAR
12-6,MAS
12-7,MAW
12-8,MDA
12-9,MDV
13-0,MEX
13-1,MGL
13-2,MHL
13-3,MKD
13-4,MLI
13-5,MLT
13-6,MNE
13-7,MON
13-8,MOZ
13-9,MRI
14-0,MTN
14-1,MYA
14-2,NAM
14-3,NBO
14-4,NCA
14-5,NED
14-6,NEP
14-7,NFL
14-8,NGR
14-9,NIG
15-0,NOR
15-1,NRU
15-2,NZL
15-3,OMA
15-4,PAK
15-5,PAN
15-6,PAR
15-7,PER
15-8,PHI
15-9,PLE
16-0,PLW
16-1,PNG
16-2,POL
16-3,POR
16-4,PRK
16-5,PUR
16-6,QAT
16-7,RHO
16-8,ROT
16-9,ROU
17-0,RSA
17-1,RUS
17-2,RWA
17-3,SAA
17-4,SAM
17-5,SCG
17-6,SEN
17-7,SEY
17-8,SIN
17-9,SKN
18-0,SLE
18-1,SLO
18-2,SMR
18-3,SOL
18-4,SOM
18-5,SRB
18-6,SRI
18-7,SSD
18-8,STP
18-9,SUD
19-0,SUI
19-1,SUR
19-2,SVK
19-3,SWE
19-4,SWZ
19-5,SYR
19-6,TAN
19-7,TCH
19-8,TGA
19-9,THA
20-0,TJK
20-1,TKM
20-2,TLS
20-3,TOG
20-4,TPE
20-5,TTO
20-6,TUN
20-7,TUR
20-8,TUV
20-9,UAE
21-0,UAR
21-1,UGA
21-2,UKR
21-3,UNK
21-4,URS
21-5,URU
21-6,USA
21-7,UZB
21-8,VAN
21-9,VEN
22-0,VIE
22-1,VIN
22-2,VNM
22-3,WIF
22-4,YAR
22-5,YEM
22-6,YMD
22-7,YUG
22-8,ZAM
22-9,ZIM
