Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
1,A Dijiang,M,24,180,80,China,CHN
753,Yurie Adachi,F,28,156,51,Japan,JPN
1498,"Charles Benedict ""Ben"" Ainslie",M,27,183,90,Great Britain,GBR
2273,Issa Alassane-Oussni,M,27,180,76,Benin,BEN
2999,Patricio Javier Almonacid Gonzlez,M,28,166,60,Chile,CHI
3736,Ida Kathrine Andersen (-Berthet),F,24,168,57,Norway,NOR
4472,Paul Eugne Albert Anspach,M,26,,,Belgium,BEL
5187,"Javier ""Xavi"" Arnau Creus",M,27,176,76,Spain,ESP
5931,Hermann Heinrich Gottfried Johann auf der Heide,M,25,,,Germany,GER
6665,douard Ferdinand Bader,M,20,172,76,France,FRA
7390,Serhiy Pavlovych Baltacha,M,22,181,75,Soviet Union,URS
8128,"Jennifer Mae ""Jenny"" Barringer-Simpson",F,29,166,53,United States,USA
8825,Vctor Manuel Baute Montanez,M,20,,64,Spain,ESP
9535,Eva Maria Belaise,F,25,,,Italy,ITA
10269,"Adolph Franz Marie ""Dolf"" Benz",M,19,,,Netherlands,NED
10972,Ren Beslaud,M,,,,Club Nautique de Franais-1,FRA
11703,Ignacio Felipe Birkner Cogan,M,16,,,Argentina,ARG
12438,Lus Boa Morte Pereira,M,27,177,72,Portugal,POR
13162,Mario Bonello,M,26,180,76,Malta,MLT
13883,Esther Bottomley,F,23,167,58,Australia,AUS
14590,Emilio Brambilla,M,25,,,Italy,ITA
15295,"Barbara ""Barb"" Broen-Ouelette",F,19,176,64,Canada,CAN
15985,Botjan Bu,M,28,176,62,Slovenia,SLO
16692,Declan Burns,M,24,178,78,Ireland,IRL
17429,Carola Calello,F,16,170,65,Argentina,ARG
18150,Ona Carbonell Ballestero,F,26,174,54,Spain,ESP
18889,Joana Sofia de Paiva Castelo,F,27,162,56,Portugal,POR
19624,Rafael Hugo Eugenio Ra. Chamberlain Trejos,M,41,170,70,Costa Rica,CRC
20362,Cheng Fei,F,20,152,43,China,CHN
21107,Marek Piotr Cholewa,M,24,176,72,Poland,POL
21842,Joetta Clark-Diggs,F,26,168,56,United States,USA
22569,Gianni Comandini,M,23,186,80,Italy,ITA
23289,Joana Ribeiro Costa,F,35,173,60,Brazil,BRA
24015,Jaime Cruells Folguera,M,18,,,Spain,ESP
24729,Pedro Henrique Gonalves da Silva,M,23,176,69,Brazil,BRA
25442,Tuba Dademir-Kocaaa,F,24,165,62,Turkey,TUR
26145,"Henri Franciscus ""Huug"" de Groot",M,21,,,Netherlands,NED
26867,Felix Lucien Roger Debax,M,35,,,France,FRA
27563,Dencho Todorov Denev,M,39,165,65,Bulgaria,BUL
28290,Robert Diaz,M,,,,France,FRA
28998,Gennady Konstantinovich Dobrokhotov,M,23,175,60,Soviet Union,URS
29684,Edward Bruce Douglas,M,49,,,United States,USA
30415,Henry Ludwig Duey,M,24,,,United States,USA
31127,Yuliya Valentynivna Dzhyma,F,23,166,66,Ukraine,UKR
31873,Yrj Rafael Ekqvist,M,25,172,72,Finland,FIN
32591,Everard Coenraad Endt,M,59,,,Llanoria,USA
33299,Santiago Esteva Escoda,M,16,174,67,Spain,ESP
34019,Mubarak Faraj Bilal,M,,172,72,United Arab Emirates,UAE
34733,Raymundo Fermn Martnez,M,27,175,71,Dominican Republic,DOM
35407,Karsten Finger,M,22,202,104,Germany,GER
36112,"Jean ""Johny"" Fonck",M,31,,,Luxembourg,LUX
36814,Georg Franz,M,29,175,75,Germany,GER
37528,Reiko Fujita,F,20,160,59,Japan,JPN
38237,Didier Gamerdinger,M,28,170,68,Monaco,MON
38930,Florencio Gascn lvarez,M,24,173,68,Spain,ESP
39659,Hlne Grard,F,,,,Belgium,BEL
40377,Erwin Gillmeister,M,29,178,70,Germany,GER
41107,Natalie Golda (-Benson),F,22,180,84,United States,USA
41843,Piero Gorgatto,M,31,,,Aretusa,ITA
42563,Nikola Grbi,M,30,194,91,Serbia and Montenegro,SCG
43280,Wolfgang Gruber,M,23,183,81,West Germany,FRG
44012,Hilda Carolyn Gurney,F,32,168,63,United States,USA
44732,Kim Hagger,F,22,171,62,Great Britain,GBR
45460,"Qi ""Kevin"" Han",M,27,187,86,United States,USA
46191,Tremaine Ryan Alexander Harris,M,20,181,81,Canada,CAN
46932,He Liping,F,23,174,68,China,CHN
47635,"Timothy Henry ""Tim"" Henman",M,29,185,77,Great Britain,GBR
48375,Delphyne Heymann-Burlet,F,25,163,56,France,FRA
49075,Sjoerd Evert Hoekstra,M,25,192,86,Netherlands,NED
49786,Albert Hood,M,19,150,56,United States,USA
50497,"Vra Helena Hrub (-Ralston, -Yates, -Alva)",F,15,,,Czechoslovakia,TCH
51224,Musaddiq Hussain,M,20,170,63,Pakistan,PAK
51945,Im Geum-Ja,F,17,161,56,South Korea,KOR
52651,Nicolae Istrate,M,27,183,88,Romania,ROU
53380,Petr Jkl,M,26,195,112,Czech Republic,CZE
54077,Oscar Jay,M,,,,France,FRA
54823,Bjrn Erik Jilsn,M,25,193,95,Sweden,SWE
55561,Olli Veli Pekka Jokinen,M,23,187,91,Finland,FIN
56315,Josef Jungmann,M,36,,,Czechoslovakia,TCH
57077,Ewa Urszula Kamiska-Eichler,F,23,164,69,Poland,POL
57800,Tatsumi Kasahara,M,29,168,60,Japan,JPN
58519,Kalyn Keller (-Robinson),F,19,177,72,United States,USA
59240,Marios Khatziandreou,M,29,183,76,Cyprus,CYP
59943,Kim Ho-Gon,M,25,184,84,South Korea,KOR
60678,Klmn Kirchmayer,M,26,,,Hungary-2,HUN
61374,Georgina Klug,F,32,172,63,Argentina,ARG
62089,Petri Mikael Kokko,M,25,178,67,Finland,FIN
62799,Prodromos Korkizoglou,M,25,189,78,Greece,GRE
63474,Radka Kovakov,F,18,161,47,Czech Republic,CZE
64183,Jnos Krizsn,M,21,175,72,Hungary,HUN
64895,Naresh Kumar,M,22,160,74,India,IND
65608,"Johan Henrik ""Juhani"" Laakso",M,26,176,73,Finland,FIN
66340,Mabel Marie Landry (-Staton),F,19,165,60,United States,USA
67072,Jrn Lauenborg (Hansen-),M,27,185,65,Denmark,DEN
67797,Lee Chae-On,M,25,188,84,South Korea,KOR
68520,Lia Leismller (-Braun),F,20,,,Germany,GER
69253,"Randall Scott ""Randy"" Lewis",M,25,173,64,United States,USA
69974,Lin Jicheng,M,27,174,73,China,CHN
70680,Liu Yen-Chiu,F,22,165,58,Chinese Taipei,TPE
71377,Isel Lpez Rodrguez,F,26,174,74,Cuba,CUB
72103,Laura Ludwig,F,30,181,70,Germany-1,GER
72832,Michael Macaque,M,26,178,103,Mauritius,MRI
73554,Duncan Mahlangu,M,21,183,68,South Africa,RSA
74255,Tadashi Mamiya,M,,,,Japan,JPN
74965,Serghei Marghiev,M,19,195,97,Moldova,MDA
75667,Vladimr Martinec,M,30,173,84,Czechoslovakia,TCH
76387,Ladislav Mateti,M,24,,,Yugoslavia,YUG
77094,Svitlana Ivanivna Maziy (-Pachkun),F,36,183,80,Ukraine,UKR
77836,Brent McMahon,M,23,178,65,Canada,CAN
78559,Csar David Menacho Flores,M,43,170,80,Bolivia,BOL
79261,Albert Meyong Ze,M,19,172,,Cameroon,CMR
79967,Vasiliki Millousi,F,32,155,45,Greece,GRE
80684,Ambrose Mlilo,M,24,175,71,Zimbabwe,ZIM
81421,Rolf Monsen,M,33,175,,United States,USA
82158,Jrgen Hjorth Moritzen,M,29,,73.5,Denmark,DEN
82898,Ahmad Salam Muhammad,M,40,163,58,Pakistan,PAK
83646,Beybulat Zainalovich Musayev,M,23,182,85,Belarus,BLR
84358,Akira Nakao,M,22,,,Japan,JPN
85067,Hiroshi Negami,M,23,,,Japan,JPN
85788,Christian Elza Niccum,M,36,188,86,United States-1,USA
86488,Takanobu Nishi,M,25,170,72,Japan,JPN
87220,Danuta Krystyna Nowak-Stachow (-Wroska),F,26,159,56,Poland,POL
87898,Flix C. Ocampo,M,23,173,70,Philippines,PHI
88648,Stanisaw Feliks Olejniczak,M,26,193,84,Poland,POL
89367,Sndor Orbn,M,28,157,51,Hungary,HUN
90088,Fabrice Ougier,M,26,172,72,France,FRA
90807,Frdric Pallul,M,24,173,63,France-2,FRA
91515,Park Hyeon-Gon,M,20,172,67,South Korea,KOR
92241,Maya Paunovska,F,20,170,52,Bulgaria,BUL
92951,Mario Pea Maldonado,M,24,186,85,Mexico,MEX
93671,Marika Avtandilovna Pertakhiya,F,21,170,56,Russia,RUS
94359,Beat Pfister,M,23,189,69,Switzerland,SUI
95060,Tatjana Lofamakanda Pinto,F,24,170,56,Germany,GER
95759,Matja Poklukar,M,33,183,74,Slovenia,SLO
96458,Herman Karel Potgieter,M,24,192,120,South Africa,RSA
97172,Valentin Ivanovich Prokopov,M,27,,,Soviet Union,URS
97872,Charles Quervel,M,,,,France,FRA
98590,Edvinas Ramanauskas,M,30,184,90,Lithuania,LTU
99299,Jean-Luc Razakarivony,M,28,190,82,Madagascar,MAD
