,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
0,1,CHN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,
1000,562,POL,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,000 metres",
2000,1106,IRI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
3000,1671,JPN,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,
4000,2305,ARG,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
5000,2851,CAN,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
6000,3370,ITA,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
7000,3926,SWE,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",
8000,4432,GBR,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,
9000,4949,TCH,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Doubles,
10000,5463,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Freestyle,
11000,6008,ITA,1964 Winter,1964,Winter,Innsbruck,Luge,Luge Women's Singles,
12000,6541,POL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,
13000,7070,CAN,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,
14000,7571,CAN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Individual",
15000,8096,AUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,
16000,8620,GBR,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 333 metres Time Trial,
17000,9105,POL,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",
18000,9565,GBR,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",
19000,10051,ITA,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Team",
20000,10532,GER,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Slalom,
21000,11090,FRA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,
22000,11600,NZL,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,
23000,12090,NZL,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,
24000,12602,SUI,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Quadruple Sculls,
25000,13091,ITA,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,Silver
26000,13566,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,
27000,14046,ALG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,
28000,14502,CAN,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,
29000,14998,GER,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Foil, Team",
30000,15488,BAH,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
31000,15962,FIJ,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Breaststroke,
32000,16445,CRO,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze
33000,16981,RUS,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Women's Singles,
34000,17513,PHI,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Bantamweight,
